ID,Date,Element,Data_Value
ZA000067581,2005-02-10,TMIN,172
ZA000067581,2005-02-10,TMAX,300
ZA000067581,2013-06-11,TMAX,279
ZA000067581,2013-06-20,TMIN,146
ZA000067581,2013-06-12,TMIN,136
ZA000067581,2013-06-19,TMAX,245
ZA000067581,2014-03-11,TMIN,155
ZA000067581,2013-06-24,TMIN,110
ZA000067581,2013-06-12,TMAX,232
ZA000067581,2013-06-19,TMIN,128
ZA000067581,2013-06-11,TMIN,132
